order_id,customer_id,product_name,category,price,quantity,revenue,order_date,order_month
1001,292,Atomic Habits,Books,15.95,4,63.8,2024-12-09,2024-12
1002,499,Atomic Habits,Books,14.98,3,44.94,2024-09-16,2024-09
1003,352,Ninja Air Fryer,Home & Garden,129.06,2,258.12,2024-01-01,2024-01
1004,120,AirPods Pro,Electronics,243.24,3,729.72,2024-01-14,2024-01
1005,273,iPhone 15 Pro,Electronics,973.82,2,1947.64,2024-01-01,2024-01
1006,452,Apple Watch,Electronics,390.08,2,780.16,2024-03-26,2024-03
1007,26,Fitbit Charge 6,Sports,155.61,1,155.61,2024-05-09,2024-05
1008,199,North Face Backpack,Apparel,89.27,1,89.27,2024-02-04,2024-02
1009,66,The Psychology of Money,Books,16.52,4,66.08,2025-01-09,2025-01
1010,136,iPhone 15 Pro,Electronics,1007.99,1,1007.99,2024-01-01,2024-01
1011,430,Ninja Air Fryer,Home & Garden,121.2,2,242.4,2024-01-01,2024-01
1012,32,Samsung Galaxy S24,Electronics,814.28,1,814.28,2024-07-23,2024-07
1013,11,Sony WH-1000XM5,Electronics,371.71,1,371.71,2024-01-01,2024-01
1014,386,Resistance Bands Set,Sports,29.4,3,88.2,2024-02-02,2024-02
1015,119,AirPods Pro,Electronics,256.43,1,256.43,2024-01-01,2024-01
1016,485,iPhone 15 Pro,Electronics,1023.63,1,1023.63,2024-01-01,2024-01
1017,22,Atomic Habits,Books,15.88,2,31.76,2024-01-01,2024-01
1018,466,Yeti Cooler,Sports,332.09,2,664.18,2024-01-01,2024-01
1019,491,Ninja Air Fryer,Home & Garden,110.36,2,220.72,2024-01-01,2024-01
1020,145,Instant Pot Duo,Home & Garden,101.08,3,303.24,2024-01-01,2024-01
1021,461,KitchenAid Stand Mixer,Home & Garden,415.27,1,415.27,2024-03-10,2024-03
1022,317,AirPods Pro,Electronics,251.39,2,502.78,2024-01-01,2024-01
1023,175,Levi's 501 Jeans,Apparel,65.02,2,130.04,2024-01-01,2024-01
1024,383,The Lean Startup,Books,15.83,1,15.83,2024-03-01,2024-03
1025,299,Peloton Bike Mat,Sports,54.86,4,219.44,2024-01-02,2024-01
1026,311,MacBook Air,Electronics,1350.81,1,1350.81,2024-01-02,2024-01
1027,121,Fitbit Charge 6,Sports,146.36,2,292.72,2024-01-02,2024-01
1028,418,Nintendo Switch,Electronics,294.4,2,588.8,2024-01-02,2024-01
1029,5,North Face Backpack,Apparel,101.78,4,407.12,2024-01-02,2024-01
1030,450,Adidas Running Shoes,Apparel,82.43,2,164.86,2024-01-02,2024-01
1031,400,MacBook Air,Electronics,1300.03,1,1300.03,2024-01-02,2024-01
1032,190,Peloton Bike Mat,Sports,53.9,1,53.9,2024-11-08,2024-11
1033,341,"Thinking, Fast and Slow",Books,19.69,1,19.69,2024-12-17,2024-12
1034,159,Nike Air Max Sneakers,Apparel,127.45,1,127.45,2024-10-27,2024-10
1035,189,Sony WH-1000XM5,Electronics,365.09,1,365.09,2024-06-28,2024-06
1036,296,Nintendo Switch,Electronics,303.02,1,303.02,2024-01-02,2024-01
1037,357,Hydro Flask Water Bottle,Sports,42.82,1,42.82,2024-05-14,2024-05
1038,341,Peloton Bike Mat,Sports,64.75,2,129.5,2024-12-07,2024-12
1039,294,Nike Air Max Sneakers,Apparel,127.97,1,127.97,2024-01-02,2024-01
1040,381,KitchenAid Stand Mixer,Home & Garden,455.79,4,1823.16,2024-11-30,2024-11
1041,220,Project Hail Mary,Books,16.04,2,32.08,2024-05-14,2024-05
1042,293,Nike Air Max Sneakers,Apparel,138.94,2,277.88,2024-09-23,2024-09
1043,102,Nike Air Max Sneakers,Apparel,131.77,2,263.54,2024-01-02,2024-01
1044,315,North Face Backpack,Apparel,99.93,1,99.93,2024-05-16,2024-05
1045,190,MacBook Air,Electronics,1217.35,1,1217.35,2024-11-16,2024-11
1046,375,Ray-Ban Sunglasses,Apparel,178.07,3,534.21,2024-01-02,2024-01
1047,47,Sony WH-1000XM5,Electronics,427.37,3,1282.11,2024-01-02,2024-01
1048,51,iPad Air,Electronics,611.4,1,611.4,2024-08-27,2024-08
1049,125,Apple Watch,Electronics,424.33,3,1272.99,2024-01-02,2024-01
1050,355,Ray-Ban Sunglasses,Apparel,189.24,1,189.24,2024-08-13,2024-08
1051,108,Adidas Running Shoes,Apparel,84.71,1,84.71,2024-03-03,2024-03
1052,434,Project Hail Mary,Books,14.47,1,14.47,2024-01-02,2024-01
1053,408,Fitbit Charge 6,Sports,173.76,2,347.52,2024-08-04,2024-08
1054,311,Ninja Air Fryer,Home & Garden,111.55,1,111.55,2024-01-02,2024-01
1055,223,Samsung Galaxy S24,Electronics,976.86,1,976.86,2025-01-13,2025-01
1056,362,Atomic Habits,Books,16.49,1,16.49,2024-01-02,2024-01
1057,70,Peloton Bike Mat,Sports,53.36,1,53.36,2024-01-02,2024-01
1058,130,MacBook Air,Electronics,1329.36,1,1329.36,2024-08-30,2024-08
1059,399,Nintendo Switch,Electronics,277.37,2,554.74,2024-08-14,2024-08
1060,253,MacBook Air,Electronics,1322.64,1,1322.64,2024-01-03,2024-01
1061,444,Fitbit Charge 6,Sports,158.47,3,475.41,2024-07-07,2024-07
1062,431,Atomic Habits,Books,16.61,1,16.61,2024-05-08,2024-05
1063,448,MacBook Air,Electronics,1409.67,1,1409.67,2024-01-03,2024-01
1064,288,Philips Hue Starter Kit,Home & Garden,181.86,3,545.58,2024-01-03,2024-01
1065,479,AirPods Pro,Electronics,224.29,2,448.58,2024-01-03,2024-01
1066,395,The Lean Startup,Books,16.03,1,16.03,2024-01-03,2024-01
1067,96,Adidas Running Shoes,Apparel,91.23,2,182.46,2024-07-09,2024-07
1068,455,North Face Backpack,Apparel,98.34,2,196.68,2024-11-23,2024-11
1069,469,Adidas Running Shoes,Apparel,93.02,3,279.06,2024-01-03,2024-01
1070,479,"Thinking, Fast and Slow",Books,19.61,2,39.22,2024-01-03,2024-01
1071,366,Project Hail Mary,Books,14.83,2,29.66,2024-09-12,2024-09
1072,283,Samsung Galaxy S24,Electronics,952.5,1,952.5,2024-04-19,2024-04
1073,158,Dyson V15 Vacuum,Home & Garden,623.59,1,623.59,2024-10-22,2024-10
1074,45,Fitbit Charge 6,Sports,163.46,3,490.38,2024-01-03,2024-01
1075,151,AirPods Pro,Electronics,248.8,1,248.8,2024-09-04,2024-09
1076,339,Atomic Habits,Books,15.91,2,31.82,2024-01-03,2024-01
1077,258,Adidas Running Shoes,Apparel,87.58,3,262.74,2024-01-03,2024-01
1078,289,Atomic Habits,Books,15.78,2,31.56,2024-03-26,2024-03
